Title,Author
The Awakening (KA),"Armstrong, Kelley"
The Gathering (KA),"Armstrong, Kelley"
The Masked Truth,"Armstrong, Kelley"
The Reckoning,"Armstrong, Kelley"
Mosquitoland,"Arnold, David"
The Electric Kingdom,"Arnold, David"
Damsel,"Arnold, Elana K."
Infandous,"Arnold, Elana K."
Red Hood,"Arnold, Elana K."
What Girls Are Made Of,"Arnold, Elana K."
What Riley Wore,"Arnold, Elana K."
Witch-Hunt: Mysteries of the Salem Witch Trials,"Aronson, Marc"
All the Pretty Things,"Arsenault, Emily"
Goodnight Punpun,"Asano, Inio"
It's Bigger Than Hip Hop: The Rise of the Post-Hip-Hop Generation,"Asante Jr., M. K."
If They Come for Us: Poems,"Asghar, Fatimah"
Future of Us,"Asher, Jay"
Thirteen Reasons Why,"Asher, Jay"
"World Trigger (Series, Title Not Specified)","Ashihara, Daisuke"
The Words in my Hands,Asphyxia
Lightlark,"Aster, Alex"
Somewhere Towards the End,"Athill, Diana"
Alt Ed,"Atkins, Catherine"
The Black Flamingo,"Atta, Dean"
Alias Grace,"Atwood, Margaret"
Hag-Seed: William Shakespeare's The Tempest Retold,"Atwood, Margaret"
MaddAddam,"Atwood, Margaret"
Oryx and Crake,"Atwood, Margaret"
The Blind Assassin,"Atwood, Margaret"
The Handmaid's Tale,"Atwood, Margaret"
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret"
The Testaments,"Atwood, Margaret"
The Year of the Flood,"Atwood, Margaret"
The Clan of the Cave Bear,"Auel, Jean M."
The Mammoth Hunters,"Auel, Jean M."
The Valley of Horses,"Auel, Jean M."
Worm Loves Worm,"Austrian, J.J."
Chasing Shadows,"Avasthi, Swati"
The Memory Book,"Avery, Lara"
Broken Throne: A Red Queen Collection,"Aveyard, Victoria"
Cruel Crown,"Aveyard, Victoria"
Glass Sword,"Aveyard, Victoria"
King's Cage,"Aveyard, Victoria"
Red Queen,"Aveyard, Victoria"
War Storm,"Aveyard, Victoria"
The Tale of John Barleycorn: Or From Barley to Beer,"Azarian, Mary"
Drowned Cities,"Bacigalupi, Paolo"
Ship Breaker,"Bacigalupi, Paolo"
The Doubt Factory,"Bacigalupi, Paolo"
The Windup Girl,"Bacigalupi, Paolo"
My Friend Dahmer,"Backderf, Derf"
Beartown,"Backman, Fredrik"
Forgotten Fire,"Bagdasarian, Adam"
Brazen: Rebel Ladies Who Rocked the World,"Bagieu, Pénélope"
Obie is Man Enough,"Bailar, Schuyler"
Cheever: A Life,"Bailey, Blake"
Teen Hyde,"Baker, Chandler"
If You Find This,"Baker, Matthew"
The Other Half of Happy,"Balcarel, Rebecca"
Morris Micklewhite and the Tangerine Dress,"Baldacchino, Christine"
First Family,"Baldacci, David"
Saving Faith,"Baldacci, David"
The Innocent,"Baldacci, David"
The Whole Truth,"Baldacci, David"
