Title,Author,State,District,Date of Challenge/Removal,Ban Status,Initiating Action
Practical Magic,"Hoffman, Alice",Texas,Conroe Independent School District,November 2023,Banned,Administration
Jacob's New Dress,"Hoffman, Sarah",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
This is the Part Where You Laugh,"Hoffmeister, Peter Brown",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Rules,"Holder, Nancy",Florida,St. John's County School District,July 2023,Banned,Administration
Marriage Rights and Gay Rights: Interpretating the Constitution,"Hollander, Barbara Gottfried",Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
Summer Spirit,"Holleville, Elizabeth",Florida,St. John's County School District,July 2023,Banned,Administration
The Dress Lodger,"Holman, Sheri",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Profiling Violent Crimes: An Investigative Tool,"Holmes, Ronald M.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Watch Me,"Holt, A. J.",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Ben Y and the Ghost in the Machine: The Kids Under the Stairs,"Holt, K. A.",Iowa,Van Meter Community School District,June 2024,Banned,Administration
BenBee and the Teacher Griefer: The Kids Under the Stairs,"Holt, K. A.",Iowa,Van Meter Community School District,June 2024,Banned,Administration
Redwood and Ponytail,"Holt, K. A.",Wisconsin,Elkhorn Area School District,November 2023,Banned by restriction,"Informal Challenge, Administration"
All Your Perfects,"Hoover, Colleen",Florida,Orange County Public Schools,February 2024,Banned,Administration
Confess,"Hoover, Colleen",Florida,Orange County Public Schools,February 2024,Banned,Administration
Finding Cinderella,"Hoover, Colleen",Iowa,Central Lyon Community School District,October 2023,Banned,Administration
Finding Perfect,"Hoover, Colleen",Iowa,Central Lyon Community School District,October 2023,Banned,Administration
Heart Bones,"Hoover, Colleen",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Hopeless,"Hoover, Colleen",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
It Ends With Us,"Hoover, Colleen",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge
It Starts With Us,"Hoover, Colleen",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Layla,"Hoover, Colleen",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Losing Hope,"Hoover, Colleen",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Maybe Not,"Hoover, Colleen",Iowa,Cedar Falls Community School District,June 2024,Banned pending investigation,Administration
Maybe Now,"Hoover, Colleen",Iowa,Central Lyon Community School District,October 2023,Banned,Administration
Maybe Someday,"Hoover, Colleen",Iowa,Cedar Falls Community School District,June 2024,Banned pending investigation,Administration
Never Never,"Hoover, Colleen",Iowa,Clear Lake Community School District,June 2024,Banned,Administration
November 9,"Hoover, Colleen",Florida,Orange County Public Schools,September 2023,Banned,Administration
Point of Retreat,"Hoover, Colleen",Iowa,Central Lyon Community School District,October 2023,Banned,Administration
Regretting You,"Hoover, Colleen",Florida,Escambia County Public Schools,April 2024,Banned pending investigation,Formal Challenge
Reminders of Him,"Hoover, Colleen",Iowa,Boone Community School District,June 2024,Banned,Administration
Slammed,"Hoover, Colleen",Iowa,Boone Community School District,June 2024,Banned,Administration
This Girl,"Hoover, Colleen",Iowa,Cardinal Community School District,June 2024,Banned,Administration
Two More Days: An Anthology,"Hoover, Colleen",Iowa,West Des Moines Community Schools,October 2023,Banned pending investigation,Administration
Ugly Love,"Hoover, Colleen",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge
Verity,"Hoover, Colleen",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge
Without Merit,"Hoover, Colleen",Iowa,Central Lyon Community School District,October 2023,Banned,Administration
"Mates, Dates, and Inflatable Bras","Hopkins, Cathy",Florida,Union County School District,August 2023,Banned pending investigation,Administration
A Sin Such As This,"Hopkins, Ellen",Iowa,West Des Moines Community Schools,October 2023,Banned pending investigation,Administration
Burned (EH),"Hopkins, Ellen",Florida,Alachua County Public Schools,March 2024,Banned pending investigation,Formal Challenge
Collateral,"Hopkins, Ellen",Florida,Collier County Public Schools,October 2023,Banned,Administration
Crank,"Hopkins, Ellen",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
Fallout,"Hopkins, Ellen",Florida,Bay District Schools,April 2024,Banned,Formal Challenge
Flirtin' With the Monster: Your Favorite Authors on Ellen Hopkins' Crank and Glass,"Hopkins, Ellen",Florida,Seminole County Public Schools,September 2023,Banned by restriction,Formal Challenge
Glass,"Hopkins, Ellen",Florida,Bay District Schools,April 2024,Banned,Formal Challenge
Identical,"Hopkins, Ellen",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
Impulse,"Hopkins, Ellen",Florida,Bay District Schools,April 2024,Banned,Formal Challenge
Love Lies Beneath,"Hopkins, Ellen",Florida,Orange County Public Schools,February 2024,Banned,Administration
People Kill People,"Hopkins, Ellen",Florida,Leon County Schools,July 2023,Banned,Formal Challenge
Perfect (EH),"Hopkins, Ellen",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
Rumble,"Hopkins, Ellen",Florida,Pinellas County Schools,July 2023,Banned by restriction,Formal Challenge
Smoke,"Hopkins, Ellen",Florida,Bay District Schools,April 2024,Banned,Formal Challenge
The You I've Never Known,"Hopkins, Ellen",Florida,Pinellas County Schools,July 2023,Banned by restriction,Formal Challenge
Tilt (EH),"Hopkins, Ellen",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
Traffick,"Hopkins, Ellen",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Triangles,"Hopkins, Ellen",Florida,Sarasota County Schools,December 2023,Banned,Administration
Tricks,"Hopkins, Ellen",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
The Lizard King: The Essential Jim Morrison,"Hopkins, Jerry",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Skin Folk: Stories,"Hopkinson, Nalo",Florida,Collier County Public Schools,October 2023,Banned,Administration
I Never,"Hopper, Laura",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
"My Hero Academia (Series, Title Not Specified)","Horikoshi, Kōhei",Texas,North East Independent School District,June 2024,Banned,Administration
"My Hero Academia, Vol. 14: Overhaul","Horikoshi, Kōhei",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"My Hero Academia, Vol. 30: Dabi's Dance","Horikoshi, Kōhei",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"My Hero Academia: Origin (Series, Title Not Specified)","Horikoshi, Kōhei",Texas,North East Independent School District,June 2024,Banned,Administration
The Changeling,"Horsley, Kate",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
A Thousand Splendid Suns,"Hosseini, Khaled",Florida,Charlotte County Public Schools,August 2023,Banned,Administration
Cometas en el cielo,"Hosseini, Khaled",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Kite Runner,"Hosseini, Khaled",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
The Kite Runner Graphic Novel,"Hosseini, Khaled",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
Reawakened,"Houck, Colleen",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Recreated,"Houck, Colleen",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Reunited,"Houck, Colleen",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Ensnared,"Howard, A. G.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
RoseBlood,"Howard, A. G.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Splintered,"Howard, A. G.",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Unhinged,"Howard, A. G.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Untamed (AGH),"Howard, A. G.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Middle School's a Drag, You Better Werk!","Howard, Greg",Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
Cashelmara,"Howatch, Susan",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Misfits,"Howe, James",Florida,Clay County School District,October 2023,Banned by restriction,Formal Challenge
Totally Joe,"Howe, James",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Conversion,"Howe, Katherine",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
James Dean: Rebel Life,"Howlett, John",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Cranes Dance,"Howrey, Meg",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Wicked Intentions,"Hoyt, Elizabeth",Maine,Hermon School Department,August 2023,Banned by restriction,Administration
GLBTQ*: The Survival Guide for Queer and Questioning Teens,"Huegel, Kelly",Iowa,Clear Lake Community School District,June 2024,Banned,Administration
The Enchantment Emporium,"Huff, Tanya",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Les Misérables,"Hugo, Victor",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Born at Midnight,"Hunter, C. C.",Florida,Clay County School District,April 2024,Banned,Formal Challenge
Taken at Dusk,"Hunter, C. C.",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
On The Come Up (TH),"Hunter, Travis",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Forest of Stolen Girls,"Hur, June",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Lies and Other Tall Tales,"Hurston, Zora Neale",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Their Eyes Were Watching God,"Hurston, Zora Neale",Florida,Collier County Public Schools,October 2023,Banned,Administration
Freaks and Revelations,"Hurwin, Davida Wills",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
A Complicated Love Story Set in Space,"Hutchinson, Shaun David",Florida,Collier County Public Schools,September 2023,Banned,Formal Challenge
At the Edge of the Universe,"Hutchinson, Shaun David",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Brave Face: A Memoir,"Hutchinson, Shaun David",Florida,Clay County School District,January 2024,Banned,Formal Challenge
Feral Youth,"Hutchinson, Shaun David",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Howl,"Hutchinson, Shaun David",Florida,Clay County School District,June 2024,Banned,Formal Challenge
The Apocalypse of Elena Mendoza,"Hutchinson, Shaun David",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Past and Other Things That Should Stay Buried,"Hutchinson, Shaun David",Florida,Clay County School District,June 2024,Banned,Formal Challenge
The State of Us,"Hutchinson, Shaun David",Georgia,Cobb County School District,August 2023,Banned pending investigation,Administration
Violent Ends,"Hutchinson, Shaun David",Florida,Collier County Public Schools,October 2023,Banned,Administration
We Are the Ants,"Hutchinson, Shaun David",Florida,Indian River County Schools,January 2024,Banned,Formal Challenge
A Wounded Name,"Hutchison, Dot",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Brave New World,"Huxley, Aldous",Florida,Collier County Public Schools,October 2023,Banned,Administration
Brave New World Revisited,"Huxley, Aldous",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
M Butterfly,"Hwang, David Henry",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Becoming Chloe,"Hyde, Catherine Ryan",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Sexual Abuse: Let's Talk About It,"Hyde, Margaret O.",Iowa,East Union Community School District,June 2024,Banned,Administration
Icy Sparks,"Hyman Rubio, Gwyn",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Journey to the River Sea,"Ibbotson, Eva",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Ogre of Oglefort,"Ibbotson, Eva",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Girl Guide: 50 Ways to Love Your Changing Body,"Ibrahim, Marawa",Texas,Katy Independent School District,May 2024,Banned,Administration
"At Last, Jedi: A Christina Starspeeder Story","Ignatow, Amy",Florida,Clay County School District,April 2024,Banned pending investigation,Formal Challenge
Love and Other Fiascos with Lydia Goldblatt and Julie Graham-Chang,"Ignatow, Amy",Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge
Research for the Social Improvement and General Betterment of Lydia Goldblatt and Julie Graham-Chang,"Ignatow, Amy",Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge
The Awesomely Awful Melodies of Lydia Goldblatt and Julie Graham-Chang,"Ignatow, Amy",Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge
The Less-Than-Hidden Secrets and Final Revelations of Lydia Goldblatt and Julie Graham-Chang,"Ignatow, Amy",Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge
The Long-Distance Dispatch Between Lydia Goldblatt and Julie Graham-Chang,"Ignatow, Amy",Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge
The Rocky Road Trip of Lydia Goldblatt and Julie Graham-Chang,"Ignatow, Amy",Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge
Words of (Questionable) Wisdom from Lydia Goldblatt and Julie Graham-Chang,"Ignatow, Amy",Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge
Blood Memory,"Iles, Greg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Every Body Looking,"Iloh, Candice",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Crime and Detection: History and Methods of Torture,"Innes, Brian",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
A Widow for One Year,"Irving, John",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Cider House Rules,"Irving, John",Iowa,Northeast Community School District,June 2024,Banned pending investigation,Administration
The World According to Garp,"Irving, John",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
"Attack on Titan (Series, Title Not Specified)","Isayama, Hajime",Texas,North East Independent School District,June 2024,Banned,Administration
"Tokyo Ghoul (Series, Title Not Specified)","Ishida, Sui",Texas,North East Independent School District,June 2024,Banned,Administration
Never Let Me Go,"Ishiguro, Kazuo",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Librarian of Auschwitz,"Iturbe, Antonio",Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge
The Librarian of Auschwitz: The Graphic Novel,"Iturbe, Antonio",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Snow Child,"Ivey, Eowyn",Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
"Magus of the Library (Series, Title Not Specified)","Izumi, Mitsu",Texas,North East Independent School District,June 2024,Banned,Administration
A Good Girl's Guide to Murder,"Jackson, Holly",Florida,Clay County School District,March 2024,Banned by restriction,Formal Challenge
As Good as Dead,"Jackson, Holly",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Good Girl, Bad Blood","Jackson, Holly",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Allegedly,"Jackson, Tiffany D.",Florida,Brevard Public Schools,December 2023,Banned pending investigation,Formal Challenge
Grown,"Jackson, Tiffany D.",Florida,Collier County Public Schools,October 2023,Banned,Administration
Let Me Hear a Rhyme,"Jackson, Tiffany D.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Monday's Not Coming,"Jackson, Tiffany D.",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
The Weight of Blood,"Jackson, Tiffany D.",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Friday Night Knitting Club,"Jacobs, Kate",Wisconsin,Elkhorn Area School District,November 2023,Banned by restriction,"Informal Challenge, Administration"
Stained,"Jacobson, Jennifer Richard",Florida,Martin County Schools,April 2024,Banned,Formal Challenge
Anne Frank: The Anne Frank House Authorized Graphic Biography,"Jacobson, Sid",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Wintersong,"Jae-Jones, S.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Beyond the Red,"Jae, Ava",Texas,North East Independent School District,June 2024,Banned,Administration
Lab Girl,"Jahren, Hope",Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
Hani and Ishu's Guide to Fake Dating,"Jaigirdar, Adiba",Florida,Clay County School District,April 2024,Banned pending investigation,Formal Challenge
Bit of a Blur: the Autobiography,"James, Alex",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Fifty Shades of Grey,"James, E. L.",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Fifty Shades Darker,"James, E.L.",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Fifty Shades Freed,"James, E.L.",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
"Black Leopard, Red Wolf","James, Marlon",Florida,Santa Rosa County Schools,January 2024,Banned,Formal Challenge
The Murder Room,"James, P. D.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
All's Faire in Middle School,"Jamieson, Victoria",Florida,Clay County School District,October 2023,Banned by restriction,Formal Challenge
Roller Girl,"Jamieson, Victoria",Wisconsin,Elkhorn Area School District,November 2023,Banned by restriction,"Informal Challenge, Administration"
When Stars are Scattered,"Jamieson, Victoria",Florida,Clay County School District,October 2023,Banned by restriction,Formal Challenge
"The World Almanac and Book of Facts, 2018","Janssen, Sarah",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Decorative Arts of Africa,"Jefferson, Louise E.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Hundred Thousand Kingdoms,"Jemisin, N. K.",Florida,Clay County School District,June 2024,Banned,Formal Challenge
Damage,"Jenkins, A.M.",Iowa,WACO Community School District,June 2024,Banned,Administration
Harry Versus the First 100 Days of School,"Jenkins, Emily",Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge
Be Loved,"Jenkins, Emma Mae",Iowa,Muscatine Community School District,June 2024,Banned,Administration
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",Florida,Charlotte County Public Schools,August 2023,Banned by restriction,Formal Challenge
Knight of the Cape: Definitely Dominguita,"Jennings, Terry Catasus",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Green River Killer: A True Detective Story,"Jensen, Jeff",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
(Don't) Call Me Crazy: 33 Voices Start the Conversation,"Jensen, Kelly",Florida,Clay County School District,December 2023,Banned pending investigation,Formal Challenge
Body Talk: 37 Voices Explore Our Radical Anatomy,"Jensen, Kelly",Florida,Clay County School District,November 2023,Banned,Formal Challenge
Escape,"Jessop, Carolyn",Iowa,Northeast Community School District,June 2024,Banned pending investigation,Administration
Part of Your World,"Jimenez, Abby",Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge
Fatal Tide,"Johansen, Iris",Iowa,Clear Lake Community School District,June 2024,Banned,Administration
No One to Trust,"Johansen, Iris",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
If I Fix You,"Johnson, Abigail",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Love is the Drug,"Johnson, Alaya Dawn",Florida,Clay County School District,September 2023,Banned by restriction,Formal Challenge
The Summer Prince,"Johnson, Alaya Dawn",Florida,Clay County School District,January 2024,Banned pending investigation,Formal Challenge
The First Part Last,"Johnson, Angela",Iowa,Nevada Community School District,October 2023,Banned,Administration
The Breakaways,"Johnson, Cathy G.",Iowa,Adel DeSoto Minburn Community School District,June 2024,Banned,Administration
All Boys Aren't Blue,"Johnson, George M.",Florida,Alachua County Public Schools,November 2023,Banned,Formal Challenge
"Technically, You Started It","Johnson, Lana Wood",Florida,Clay County School District,July 2023,Banned pending investigation,Formal Challenge
Ellie Engle Saves Herself,"Johnson, Leah",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Rise to the Sun,"Johnson, Leah",Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
Devil in the Device,"Johnson, Lora Beth",Texas,North East Independent School District,June 2024,Banned,Administration
The Box in the Woods,"Johnson, Maureen",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The hand on the wall,"Johnson, Maureen",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Vanishing Stair,"Johnson, Maureen",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Truly Devious,"Johnson, Maureen",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Graduate (The Play),"Johnson, Terry",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Parker Inheritance,"Johnson, Varian",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
That Inevitable Victorian Thing,"Johnston, E. K",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Exit, Pursued by a Bear","Johnston, E. K.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Choice Words: How Our Language Affects Children's Learning,"Johnston, Peter H.",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Sign of the Cat,"Jonell, Lynee",Florida,Clay County School District,March 2024,Banned pending investigation,Formal Challenge
Tips on Having a Gay (Ex) Boyfriend,"Jones, Carrie",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
We Are All Liars,"Jones, Carys",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
"Modern Love: Revised and Updated: True Stories of Love Loss, and Redemption","Jones, Daniel",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
A Song Only I Can Hear,"Jonsberg, Barry",Florida,Clay County School District,August 2023,Banned pending investigation,Formal Challenge
Parasite: A Graphic Novel in Storyboards,"Joon Ho, Bong",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Path of Daggers,"Jordan, Robert",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Winter's Heart,"Jordan, Robert",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Black Friend: On Being a Better White Person,"Joseph, Frederick",Florida,Hernando County Schools,December 2023,Banned,Formal Challenge
A River of Royal Blood,"Joy, Amanda",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
A Portrait of the Artist as a Young Man,"Joyce, James",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Dubliners and A Portrait of the Artist as a Young Man and Other Works,"Joyce, James",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Ulysses,"Joyce, James",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"The Fashion Committee: A Novel of Art, Crime, and Applied Design","Juby, Susan",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Jay's Gay Agenda,"June, Jason",Texas,Brownsville Independent School District,May 2024,Banned,Informal Challenge
AIDS and HIV: Risky Business (Teen Issues),"Jussim, Daniel",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Iron Queen,"Kagawa, Julie",Florida,Clay County School District,January 2024,Banned by restriction,Formal Challenge
The Recognition of Sakuntala: A Play In Seven Acts,Kalidasa,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Luna Bay,"Kama, Adrienne",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Bite of the Mango,"Kamara, Mariatu",Iowa,Bondurant-Farrar Community School District,March 2024,Banned pending investigation,Administration
Scent of Danger,"Kane, Andrea",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Confessions of a Not It Girl,"Kantor, Melissa",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
"Magical Boy, Vol. 1","Kao, The",Ohio,Troy City Schools,August 2023,Banned,Formal Challenge
"Get a Grip, Vivy Cohen","Kapit, Sarah",Florida,Clay County School District,December 2023,Banned pending investigation,Formal Challenge
Prisoners,"Karlin, Wayne",Florida,Collier County Public Schools,October 2023,Banned,Administration
120 Banned Books: Censorship Histories of World Literature,"Karolides, Nicholas J.",Florida,Clay County School District,July 2023,Banned pending investigation,Formal Challenge
Almost Perfect,"Katcher, Brian",Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge
Teardrop,"Kate, Lauren",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Torment,"Kate, Lauren",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
All Rights Reserved,"Katsoulis, Gregory Scott",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Big Bad Wolf Tells All,"Kauffman, Donna",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Gemina,"Kaufman, Amie",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Illuminae,"Kaufman, Amie",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
El Sol Y Sus Flores,"Kaur, Rupi",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Home Body,"Kaur, Rupi",Florida,Santa Rosa County Schools,July 2023,Banned pending investigation,Formal Challenge
Milk and Honey,"Kaur, Rupi",Florida,Monroe County School District,September 2023,Banned,Administration
The Sun and Her Flowers,"Kaur, Rupi",Florida,Alachua County Public Schools,February 2024,Banned,Formal Challenge
What's Gender Identity?,"Kawa, Katie",Iowa,Norwalk Community School District,October 2023,Banned pending investigation,Administration
The Sound of Letting Go,"Kehoe, Stasia Ward",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Incredible Adventures of Cinnamon Girl,"Keil, Melissa",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Summer in the City of Roses,"Keil, Michelle Ruiz",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
When Good Kids Kill,"Kelleher, Michael D.",Florida,Pinellas County Schools,July 2023,Banned,Formal Challenge
When You Trap A Tiger,"Keller, Tae",Florida,St. John's County School District,July 2023,Banned by restriction,Administration
Street Dreams,"Kellerman, Faye",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
A Measure of Darkness,"Kellerman, Jonathan",Florida,Collier County Public Schools,June 2024,Banned by restriction,Administration
Capital Crimes,"Kellerman, Jonathan",Florida,Collier County Public Schools,June 2024,Banned by restriction,Administration
Compulsion,"Kellerman, Jonathan",Florida,Collier County Public Schools,June 2024,Banned by restriction,Administration
Heartbreak Hotel,"Kellerman, Jonathan",Florida,Collier County Public Schools,June 2024,Banned by restriction,Administration
The Murderer's Daughter,"Kellerman, Jonathan",Florida,Collier County Public Schools,June 2024,Banned by restriction,Administration
The Royals: With the Latest on the Royal Family,"Kelley, Kitty",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Who Is Dolly Parton?,"Kelley, True",Florida,St. John's County School District,July 2023,Banned by restriction,Administration
Hello Universe,"Kelly, Erin Entrada",Florida,Clay County School District,November 2023,Banned pending investigation,Formal Challenge
Lilac Girls,"Kelly, Martha Hall",Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
After the Fall,"Kelman, Judith",Florida,Collier County Public Schools,October 2023,Banned,Administration
A Curse So Dark and Lonely,"Kemmerer, Brigid",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
A Heart So Fierce and Broken,"Kemmerer, Brigid",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Mr. Ding’s Chicken Feet: On a Slow Boat from Shanghai to Texas,"Kendall, Gillian",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Antiracist Baby,"Kendi, Ibram X.",Iowa,Spencer Community School District,June 2024,Banned pending investigation,Administration
