Title,Author,State,District,Date of Challenge/Removal,Ban Status,Initiating Action
The Blood of Flowers,"Amirrezvani, Anita",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
"Bless Me, Ultima","Anaya, Rudolfo",Florida,Clay County School District,January 2024,Banned pending investigation,Formal Challenge
Murder of Crows,"Ancrum, K.",Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge
All the Birds in the Sky,"Anders, Charlie Jane",Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
Baroque and Rococo art,"Andersen, Liselotte",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Midnight at the Electric,"Anderson, Jodi Lynn",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Peaches,"Anderson, Jodi Lynn",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Vanishing Season,"Anderson, Jodi Lynn",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Catalyst,"Anderson, Laurie Halse",Florida,Collier County Public Schools,October 2023,Banned,Administration
Chains,"Anderson, Laurie Halse",Florida,Clay County School District,November 2023,Banned by restriction,Formal Challenge
Prom,"Anderson, Laurie Halse",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Shout,"Anderson, Laurie Halse",Florida,Collier County Public Schools,September 2023,Banned by restriction,Formal Challenge
Speak,"Anderson, Laurie Halse",Florida,Charlotte County Public Schools,August 2023,Banned,Administration
Speak: The Graphic Novel,"Anderson, Laurie Halse",Florida,Charlotte County Public Schools,March 2024,Banned,Administration
The Impossible Knife of Memory,"Anderson, Laurie Halse",Florida,Collier County Public Schools,October 2023,Banned pending investigation,Administration
Twisted,"Anderson, Laurie Halse",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Wintergirls,"Anderson, Laurie Halse",Florida,Duval County Public Schools,December 2023,Banned pending investigation,Administration
Feed,"Anderson, M. T.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume I: The Pox Party","Anderson, M. T.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Daughters of Ys,"Anderson, M. T.",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Thirsty,"Anderson, M. T.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II: The Kingdom on the Waves","Anderson, M.T.",Florida,Collier County Public Schools,October 2023,Banned,Administration
Let's Go Swimming on Doomsday,"Anderson, Natalie C.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Quicksilver,"Anderson, R. J.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Ultraviolet,"Anderson, R. J.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Some Assembly Required: The Not-So-Secret Life of a Transgender Teen,"Andrews, Arin",Ohio,Troy City Schools,May 2024,Banned,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",Florida,Charlotte County Public Schools,August 2023,Banned,Administration
Munmun,"Andrews, Jesse",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Haters,"Andrews, Jesse",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
Un final para Rachel,"Andrews, Jesse",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Garden of Shadows,"Andrews, V. C.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Petals on the Wind,"Andrews, V. C.",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Flowers in the Attic,"Andrews, V.C.",Florida,Bay District Schools,June 2024,Banned,Formal Challenge
If There Be Thorns,"Andrews, V.C.",Florida,Collier County Public Schools,October 2023,Banned,Administration
And Still I Rise,"Angelou, Maya",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
